epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
36,2010.57,1.15299,0.87789,1.19024,0.7656,0.66377,0.74231,0.46925,1.37894,1.05249,1.40123,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2065.89,1.13877,0.86237,1.17914,0.73905,0.68468,0.74258,0.47279,1.38928,1.05386,1.40828,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2118.2,1.13839,0.84861,1.17615,0.79099,0.63993,0.73711,0.46493,1.38788,1.05839,1.40316,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2170.67,1.12727,0.84534,1.1704,0.78113,0.64279,0.73614,0.4684,1.39033,1.05763,1.40685,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2225.59,1.11814,0.83165,1.17054,0.77054,0.66165,0.73654,0.46688,1.38558,1.05136,1.39463,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2277.39,1.11281,0.82499,1.16201,0.78892,0.6559,0.74231,0.47122,1.38428,1.06482,1.40071,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2331.2,1.1031,0.81617,1.15843,0.76101,0.6703,0.74116,0.4727,1.38691,1.04419,1.40165,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2382.59,1.08756,0.80893,1.15063,0.78239,0.65753,0.73824,0.46657,1.38646,1.05657,1.39849,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2434.46,1.08455,0.79382,1.1514,0.79259,0.66228,0.74666,0.4731,1.38882,1.04324,1.40745,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2487.52,1.07164,0.78145,1.1392,0.76269,0.6756,0.74535,0.47596,1.37738,1.04349,1.39314,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2538.34,1.07303,0.78247,1.14234,0.75029,0.68579,0.7399,0.47002,1.38486,1.0446,1.40154,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2590.04,1.06068,0.76341,1.13327,0.7675,0.6661,0.74083,0.47007,1.39487,1.04577,1.40324,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2640.41,1.04832,0.75531,1.12468,0.76896,0.67717,0.74986,0.47993,1.3801,1.04139,1.39964,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
