epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2416.15,1.02296,0.70389,1.20758,0.80668,0.70883,0.77592,0.49913,1.36578,0.95686,1.39618,0.00013,0.00013,0.00013
82,2448.34,1.02404,0.7076,1.20652,0.82407,0.69324,0.7745,0.49647,1.37064,0.96845,1.40015,0.000123812,0.000123812,0.000123812
83,2478.34,1.00964,0.69516,1.20107,0.82925,0.68661,0.77512,0.49776,1.36849,0.95657,1.39968,0.000117625,0.000117625,0.000117625
84,2516.08,1.01372,0.6939,1.20556,0.81383,0.70016,0.77711,0.49569,1.37205,0.96348,1.40208,0.000111438,0.000111438,0.000111438
85,2543.12,1.0037,0.68723,1.19557,0.81804,0.69603,0.7745,0.49654,1.36811,0.96297,1.39828,0.00010525,0.00010525,0.00010525
86,2575.49,0.99206,0.67716,1.19136,0.83017,0.6881,0.7743,0.49502,1.37334,0.96143,1.40558,9.90625e-05,9.90625e-05,9.90625e-05
87,2605.75,0.99265,0.67645,1.18902,0.82456,0.68943,0.77118,0.49297,1.37521,0.96799,1.41007,9.2875e-05,9.2875e-05,9.2875e-05
88,2636,0.98811,0.66951,1.1929,0.83103,0.68754,0.77258,0.49319,1.37559,0.97489,1.40885,8.66875e-05,8.66875e-05,8.66875e-05
89,2664.23,0.98301,0.66857,1.18842,0.82673,0.68909,0.77218,0.49159,1.37553,0.9774,1.40827,8.05e-05,8.05e-05,8.05e-05
90,2695.33,0.9718,0.65344,1.1808,0.8188,0.70063,0.77453,0.49388,1.37518,0.96798,1.41184,7.43125e-05,7.43125e-05,7.43125e-05
91,2724.2,0.89983,0.50307,1.11953,0.80636,0.70309,0.76351,0.4854,1.38074,0.98228,1.41914,6.8125e-05,6.8125e-05,6.8125e-05
92,2754.86,0.87466,0.47598,1.10934,0.80503,0.70404,0.76445,0.48538,1.38314,0.98469,1.42276,6.19375e-05,6.19375e-05,6.19375e-05
93,2781.88,0.86353,0.46869,1.10256,0.8112,0.69816,0.76391,0.48518,1.38256,0.98662,1.42231,5.575e-05,5.575e-05,5.575e-05
94,2812.64,0.85436,0.46092,1.09421,0.82431,0.68924,0.76216,0.48376,1.38469,0.99901,1.42332,4.95625e-05,4.95625e-05,4.95625e-05
95,2839.6,0.84434,0.45586,1.09601,0.81767,0.69633,0.76217,0.48474,1.38327,1.00326,1.42507,4.3375e-05,4.3375e-05,4.3375e-05
96,2870.41,0.84664,0.45776,1.0924,0.80793,0.70078,0.76236,0.4853,1.38558,1.00353,1.43022,3.71875e-05,3.71875e-05,3.71875e-05
97,2901.2,0.83401,0.44731,1.08481,0.80278,0.70072,0.76183,0.48574,1.38602,1.00782,1.43265,3.1e-05,3.1e-05,3.1e-05
98,2927.97,0.82864,0.44566,1.08463,0.80711,0.69603,0.76161,0.4855,1.38745,1.00983,1.43534,2.48125e-05,2.48125e-05,2.48125e-05
99,2958.75,0.83124,0.4433,1.08608,0.8091,0.69491,0.76171,0.48496,1.38717,1.01283,1.43591,1.8625e-05,1.8625e-05,1.8625e-05
100,2986.32,0.82563,0.44267,1.08395,0.80599,0.69563,0.76039,0.48365,1.38776,1.01554,1.43672,1.24375e-05,1.24375e-05,1.24375e-05
