epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2660.51,1.01862,0.69395,1.21817,0.80724,0.69515,0.76564,0.48951,1.37827,0.9839,1.40609,9.2875e-05,9.2875e-05,9.2875e-05
88,2690.75,1.01479,0.68644,1.22431,0.80596,0.70068,0.76828,0.4886,1.37766,0.98814,1.40526,8.66875e-05,8.66875e-05,8.66875e-05
89,2720.54,1.00795,0.6836,1.21758,0.80052,0.70245,0.76594,0.48813,1.37919,0.99926,1.40632,8.05e-05,8.05e-05,8.05e-05
90,2749.73,0.99859,0.67079,1.21071,0.82107,0.69251,0.76667,0.48862,1.38148,0.99311,1.40785,7.43125e-05,7.43125e-05,7.43125e-05
91,2781.12,0.91895,0.50971,1.14512,0.80023,0.69819,0.76503,0.48646,1.39018,0.98601,1.41634,6.8125e-05,6.8125e-05,6.8125e-05
92,2811.24,0.89218,0.48863,1.13311,0.80525,0.69162,0.76313,0.4844,1.38889,0.99616,1.41773,6.19375e-05,6.19375e-05,6.19375e-05
93,2839.82,0.88648,0.48348,1.12756,0.81257,0.68611,0.76416,0.48429,1.38852,1.002,1.42064,5.575e-05,5.575e-05,5.575e-05
94,2868.06,0.87778,0.47188,1.12106,0.8097,0.69132,0.76396,0.48261,1.38797,1.00814,1.42095,4.95625e-05,4.95625e-05,4.95625e-05
95,2897.84,0.86824,0.46762,1.12312,0.81226,0.69119,0.76464,0.48402,1.38858,1.01419,1.42137,4.3375e-05,4.3375e-05,4.3375e-05
96,2928.17,0.86155,0.46573,1.11251,0.80437,0.69433,0.76664,0.48534,1.39114,1.01066,1.42525,3.71875e-05,3.71875e-05,3.71875e-05
97,2958.24,0.85259,0.4565,1.1081,0.81317,0.69116,0.76533,0.48472,1.39067,1.01955,1.42716,3.1e-05,3.1e-05,3.1e-05
98,2988.65,0.85197,0.45868,1.11041,0.80733,0.6957,0.76433,0.48549,1.39242,1.01952,1.43036,2.48125e-05,2.48125e-05,2.48125e-05
99,3019.75,0.85201,0.45637,1.11143,0.80833,0.69422,0.76247,0.48516,1.39129,1.02366,1.43288,1.8625e-05,1.8625e-05,1.8625e-05
100,3046.64,0.84373,0.45363,1.10845,0.8103,0.68996,0.76238,0.48368,1.38949,1.02607,1.43198,1.24375e-05,1.24375e-05,1.24375e-05
